"Player","Team","Position","Rk","Status","Roster Status","Opponent","Salary","Contract","FPts","FP/G","Bye","% Owned"
"Frank Gore","(N/A)","RB","162","FLU","Reserve","Bye","8","WAVR","93.9","5.87","","17%"
"Drew Lock","DEN","QB","163","OAK","Minors","Bye","1","WAVR","93.85","18.77","null","100%"
"Greg Olsen","SEA","TE","164","FLU","Reserve","Bye","2","AUCT","93.2","6.66","null","100%"
"Kyle Rudolph","MIN","TE","165","CR","Reserve","Bye","1","WAVR","90.45","5.65","null","83%"
"Corey Davis","TEN","WR","166","LIC","Reserve","Bye","2","WAVR","90.1","6.01","null","100%"
"Tony Pollard","DAL","RB","167","VA","Minors","Bye","1","WAVR","89.1","5.94","null","100%"
"JuJu Smith-Schuster","PIT","WR","168","OAK","Active","Bye","14","2YR","87.45","7.29","null","100%"
"Noah Fant","DEN","TE","169","MARS","Reserve","Bye","1","WAVR","86.75","5.42","null","100%"
"Younghoe Koo","ATL","K","170","GK","Active","Bye","1","WAVR","86","10.75","null","33%"
"Jack Doyle","IND","TE","171","HAR","Active","Bye","4","WAVR","85.8","5.36","null","100%"
"Kerryon Johnson","DET","RB","172","LIC","Inj Res","Bye","15","1YR","84.75","10.59","null","100%"
"Allen Lazard","GB","WR","173","HAR","Reserve","Bye","1","WAVR","82.8","5.18","null","83%"
"Evan Engram","NYG","TE","174","CR","Inj Res","Bye","19","AUCT","82.15","10.27","null","100%"
"Kareem Hunt","CLE","RB","175","GK","Reserve","Bye","9","2YR","78.9","9.86","null","100%"
"Chase Edmonds","ARI","RB","176","OAK","Reserve","Bye","6","2YR","78.05","6","null","83%"
"Preston Williams","MIA","WR","177","GK","Inj Res","Bye","3","WAVR","77.55","9.69","null","100%"
"Jaylen Samuels","PIT","RB","178","YON","Reserve","Bye","9","WAVR","77.45","5.53","null","100%"
"Rashaad Penny","SEA","RB","179","GK","Inj Res","Bye","3","AUCT","74.93","7.49","null","100%"
"Cleveland","null","DST","180","YON","Active","Bye","4","WAVR","74","4.62","null","50%"
"Jacob Hollister","SEA","TE","181","CR","Active","Bye","2","WAVR","67.15","6.1","null","67%"
"Alexander Mattison","MIN","RB","182","VA","Reserve","Bye","2","ROOK","66.4","5.11","null","100%"
"O.J. Howard","TB","TE","183","NE","Reserve","Bye","2","WAVR","64.15","4.58","null","100%"
"Allen Hurns","MIA","WR","184","OAK","Reserve","Bye","4","WAVR","64.1","4.58","null","17%"
"T.J. Hockenson","DET","TE","185","OAK","Inj Res","Bye","12","ROOK","61.45","5.12","null","100%"
"Benny Snell Jr.","PIT","RB","186","YON","Reserve","Bye","9","WAVR","60.56","4.66","null","83%"
"Will Dissly","SEA","TE","187","OAK","Inj Res","Bye","3","WAVR","59.15","9.86","null","83%"
"Josh Gordon","SEA","WR","188","GK","Reserve","Bye","8","2YR","57.2","5.2","null","50%"
"Patrick Laird","MIA","RB","189","CR","Reserve","Bye","1","WAVR","56.45","3.76","null","50%"
"Derrius Guice","WAS","RB","190","VA","Inj Res","Bye","10","AUCT","54.9","10.98","null","100%"
"Justice Hill","BAL","RB","191","LIC","Reserve","Bye","2","ROOK","51.79","3.24","null","100%"
"Kai Forbath","DAL","K","192","CR","Active","Bye","1","WAVR","47.5","11.88","null","33%"
"Bo Scarbrough","DET","RB","193","VA","Active","Bye","3","WAVR","46.2","7.7","null","67%"
"Ryquell Armstead","JAX","RB","194","CR","Minors","Bye","4","WAVR","44.2","2.76","null","67%"
"Miles Boykin","BAL","WR","195","NE","Minors","Bye","1","WAVR","43.55","2.72","null","67%"
"N'Keal Harry","NE","WR","196","GK","Reserve","Bye","4","AUCT","33.15","4.74","null","100%"
"Justin Jackson","LAC","RB","197","HAR","Reserve","Bye","1","WAVR","28.84","4.12","null","100%"
"Darwin Thompson","KC","RB","198","GK","Minors","Bye","1","WAVR","28.64","2.39","null","100%"
"Dante Pettis","SF","WR","199","LIC","Reserve","Bye","2","WAVR","28.55","2.6","null","67%"
"Cam Newton","CAR","QB","200","LIC","Inj Res","Bye","34","AUCT","28.05","14.03","null","100%"
"Darrell Henderson Jr.","LAR","RB","201","HAR","Minors","Bye","2","WAVR","23.31","1.79","null","100%"
"Ben Roethlisberger","PIT","QB","202","MARS","Inj Res","Bye","7","AUCT","18.65","9.33","null","83%"
"Will Grier","CAR","QB","203","GK","Reserve","Bye","4","WAVR","6.3","3.15","null","17%"
"A.J. Green","CIN","WR","204","MARS","Inj Res","Bye","30","AUCT","0","0","null","100%"
"Lamar Miller","(N/A)","RB","205","HAR","Inj Res","Bye","1","WAVR","0","0","","83%"
"Bryce Love","WAS","RB","206","HAR","Inj Res","Bye","1","WAVR","0","0","null","67%"
